tamanho_matriz,num_threads,tempo_execucao
10,1,0.000037
10,1,0.000040
10,1,0.000086
10,2,0.000094
10,2,0.000116
10,2,0.000103
10,4,0.000699
10,4,0.003578
10,4,0.019026
10,8,0.001350
10,8,0.004304
10,8,0.001331
10,16,0.002962
10,16,0.004656
10,16,0.002957
100,1,0.001127
100,1,0.001335
100,1,0.001236
100,2,0.002341
100,2,0.001087
100,2,0.001250
100,4,0.001899
100,4,0.001312
100,4,0.001301
100,8,0.022902
100,8,0.034293
100,8,0.037844
100,16,0.049068
100,16,0.035272
100,16,0.036101
500,1,0.284807
500,1,0.264731
500,1,0.188029
500,2,0.156694
500,2,0.185930
500,2,0.213077
500,4,0.214128
500,4,0.143187
500,4,0.298448
500,8,0.241472
500,8,0.246185
500,8,0.242543
500,16,0.344037
500,16,0.448364
500,16,0.361478
1000,1,2.220849
1000,1,2.228956
1000,1,1.900775
1000,2,1.854530
1000,2,2.313837
1000,2,1.917721
1000,4,1.919271
1000,4,2.724029
1000,4,1.979077
1000,8,2.036139
1000,8,2.408265
1000,8,2.000546
1000,16,2.177459
1000,16,2.565327
1000,16,2.167629
2000,1,15.590144
2000,1,15.549930
2000,1,15.376326
2000,2,14.123967
2000,2,14.358775
2000,2,14.489002
2000,4,14.836761
2000,4,15.403415
2000,4,14.987588
2000,8,14.774444
2000,8,15.037203
2000,8,14.846607
2000,16,15.166461
2000,16,15.433178
2000,16,15.160499
3000,1,50.832617
3000,1,49.747114
3000,1,53.686040
3000,2,46.341729
3000,2,48.348025
3000,2,49.677246
3000,4,52.317344
3000,4,49.488711
3000,4,51.523370
3000,8,50.318331
3000,8,49.787151
3000,8,51.424117
3000,16,53.715819
3000,16,50.150894
3000,16,51.744229
4000,1,121.041211
4000,1,117.843174
4000,1,115.050730
4000,2,114.078136
4000,2,116.710469
4000,2,111.112520
4000,4,114.902829
4000,4,118.427869
4000,4,111.145565
4000,8,111.988192
4000,8,117.855895
4000,8,124.534441
4000,16,122.954168
4000,16,121.661806
4000,16,115.553052
